Date;3M;6M;1Y;2Y;3Y;4Y;5Y;6Y;7Y;8Y;9Y;10Y;15Y;20Y;30Y
26.06.2001;4,391;4,27054;4,08123;4,08116;4,19942;4,32217;4,44944;4,57682;4,70796;4,84305;4,8888;4,92071;5,303;5,51152;5,72007
27.06.2001;4,39974;4,29386;4,08738;4,07958;4,19795;4,31867;4,44437;4,56832;4,70321;4,83662;4,88387;4,91181;5,29637;5,49497;5,69359
28.06.2001;4,37547;4,28414;4,09216;4,10268;4,22313;4,34889;4,47956;4,6061;4,7491;4,88522;4,93017;4,95633;5,34075;5,52997;5,71922
29.06.2001;4,40556;4,33953;4,1606;4,18533;4,30229;4,42638;4,55736;4,68309;4,82509;4,96492;5,01232;5,038;5,41433;5,60426;5,79421
02.07.2001;4,39974;4,32787;4,13144;4,14935;4,26818;4,40091;4,539;4,66451;4,81073;4,95667;5,00165;5,03149;5,41031;5,60241;5,79452
03.07.2001;4,38129;4,3065;4,18305;4,2172;4,33298;4,46286;4,59849;4,71592;4,84933;4,99009;5,02861;5,06098;5,43566;5,61731;5,79897
04.07.2001;4,41236;4,37061;4,18777;4,22377;4,33993;4,47206;4,60802;4,71664;4,85188;4,988;5,02553;5,0526;5,42904;5,60577;5,78252
05.07.2001;4,41042;4,35701;4,21206;4,25666;4,36305;4,48564;4,6147;4,72378;4,85172;4,97969;5,01763;5,04495;5,42123;5,59402;5,76684
06.07.2001;4,43468;4,38809;4,18367;4,21619;4,31887;4,44044;4,56455;4,67875;4,81283;4,94402;4,98443;5,01603;5,38419;5,55037;5,71658
09.07.2001;4,44536;4,38032;4,1962;4,24164;4,34953;4,47576;4,60656;4,72137;4,85214;4,98034;5,02006;5,04899;5,4077;5,56541;5,72313
10.07.2001;4,46185;4,39488;4,17768;4,20498;4,31392;4,4445;4,57178;4,69103;4,83325;4,96423;5,00875;5,03563;5,406;5,57009;5,7342
11.07.2001;4,45021;4,3677;4,14212;4,15356;4,26112;4,39472;4,52757;4,64367;4,78372;4,91673;4,96163;4,99345;5,36995;5,54894;5,72794
12.07.2001;4,45021;4,37449;4,15124;4,16039;4,26474;4,39754;4,52795;4,64315;4,78907;4,92222;4,96973;5,00175;5,37192;5,53976;5,70762
13.07.2001;4,4473;4,36673;4,16803;4,18803;4,28912;4,41909;4,55045;4,66384;4,80632;4,94087;4,98642;5,01858;5,38713;5,55224;5,71736
16.07.2001;4,44924;4,36964;4,1522;4,17181;4,27386;4,40237;4,53215;4,64317;4,78157;4,91455;4,95933;4,99266;5,36201;5,53034;5,69869
